"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/08/2023","1.915,20","1.922,40","1.933,50","1.914,20","152,33K","-0,68%"
"16/08/2023","1.928,30","1.933,10","1.938,20","1.922,00","128,61K","-0,36%"
"15/08/2023","1.935,20","1.939,40","1.944,30","1.927,50","167,15K","-0,45%"
"14/08/2023","1.944,00","1.945,60","1.948,20","1.934,20","120,98K","-0,13%"
"11/08/2023","1.946,60","1.944,90","1.953,60","1.942,70","122,32K","-0,12%"
"10/08/2023","1.948,90","1.947,70","1.963,50","1.944,40","168,26K","-0,09%"
"09/08/2023","1.950,60","1.959,30","1.966,10","1.947,20","139,26K","-0,47%"
"08/08/2023","1.959,90","1.971,50","1.972,80","1.956,50","142,34K","-0,51%"
"07/08/2023","1.970,00","1.977,60","1.981,70","1.966,10","104,41K","-0,31%"
"04/08/2023","1.976,10","1.969,60","1.984,20","1.954,50","156,42K","0,37%"
"03/08/2023","1.968,80","1.970,80","1.974,50","1.964,50","141,35K","-0,31%"
"02/08/2023","1.975,00","1.988,90","1.992,20","1.969,10","169,66K","-0,19%"
"01/08/2023","1.978,80","2.004,20","2.004,40","1.978,30","167,76K","-1,51%"
"31/07/2023","2.009,20","1.997,90","2.010,90","1.986,70","139,96K","0,47%"
"28/07/2023","1.999,90","1.985,30","2.002,00","1.983,90","159,60K","2,79%"
"27/07/2023","1.945,70","1.973,30","1.982,60","1.941,70","194,25K","-1,24%"
"26/07/2023","1.970,10","1.966,30","1.979,90","1.963,20","208,11K","0,33%"
"25/07/2023","1.963,70","1.957,00","1.967,10","1.951,60","188,85K","0,08%"
"24/07/2023","1.962,20","1.963,60","1.969,80","1.955,30","197,21K","-0,22%"
"21/07/2023","1.966,60","1.972,10","1.975,90","1.958,80","156,54K","-0,22%"
"20/07/2023","1.970,90","1.980,00","1.989,80","1.967,70","189,93K","-0,50%"
"19/07/2023","1.980,80","1.982,50","1.984,60","1.973,30","159,41K","0,00%"
"18/07/2023","1.980,80","1.958,30","1.988,30","1.958,10","264,09K","1,25%"
"17/07/2023","1.956,40","1.958,60","1.963,60","1.949,00","165,83K","-0,41%"
"14/07/2023","1.964,40","1.965,20","1.967,80","1.954,70","209,31K","0,03%"
"13/07/2023","1.963,80","1.962,70","1.968,50","1.956,60","241,22K","0,11%"
"12/07/2023","1.961,70","1.938,00","1.965,10","1.937,50","270,87K","1,27%"
"11/07/2023","1.937,10","1.930,80","1.944,50","1.929,80","189,37K","0,32%"
"10/07/2023","1.931,00","1.930,70","1.933,70","1.918,00","208,09K","-0,08%"
"07/07/2023","1.932,50","1.916,60","1.941,10","1.915,40","214,27K","0,89%"
"06/07/2023","1.915,40","1.922,40","1.934,00","1.908,50","231,51K","-0,61%"
"04/07/2023","1.927,10","1.929,10","1.942,90","1.922,10","245,93K","-0,12%"
"03/07/2023","1.929,50","1.927,80","1.939,90","1.917,70","152,96K","0,01%"
"30/06/2023","1.929,40","1.916,40","1.930,80","1.908,10","180,69K","0,60%"
"29/06/2023","1.917,90","1.916,50","1.921,30","1.900,60","205,25K","-0,22%"
"28/06/2023","1.922,20","1.923,10","1.926,10","1.911,40","162,49K","-0,08%"
"27/06/2023","1.923,80","1.932,70","1.940,30","1.919,80","180,44K","-0,52%"
"26/06/2023","1.933,80","1.936,30","1.943,40","1.931,10","147,77K","0,22%"
"23/06/2023","1.929,60","1.923,50","1.949,00","1.919,50","186,86K","0,31%"
"22/06/2023","1.923,70","1.943,30","1.945,10","1.922,00","171,78K","-1,09%"
"21/06/2023","1.944,90","1.948,00","1.950,40","1.929,30","182,02K","-0,14%"
"19/06/2023","1.947,70","1.970,70","1.971,80","1.940,80","250,14K","-1,19%"
"16/06/2023","1.971,20","1.970,30","1.980,40","1.965,40","160,51K","0,03%"
"15/06/2023","1.970,70","1.955,70","1.972,80","1.936,10","266,35K","0,09%"
"14/06/2023","1.968,90","1.957,20","1.973,90","1.952,50","199,71K","0,53%"
"13/06/2023","1.958,60","1.971,40","1.985,90","1.953,00","198,40K","-0,56%"
"12/06/2023","1.969,70","1.975,60","1.981,40","1.963,10","122,54K","-0,38%"
"09/06/2023","1.977,20","1.980,50","1.987,80","1.971,00","130,41K","-0,07%"
"08/06/2023","1.978,60","1.956,20","1.985,70","1.955,20","191,84K","1,03%"
"07/06/2023","1.958,40","1.980,00","1.986,50","1.955,40","189,53K","-1,17%"
"06/06/2023","1.981,50","1.978,00","1.982,90","1.970,30","136,00K","0,36%"
"05/06/2023","1.974,30","1.962,30","1.980,40","1.953,80","179,99K","0,24%"
"02/06/2023","1.969,60","1.994,60","2.000,50","1.963,70","209,69K","-1,30%"
"01/06/2023","1.995,50","1.981,30","2.000,70","1.970,10","176,91K","0,68%"
"31/05/2023","1.982,10","1.977,50","1.993,10","1.971,80","207,75K","0,25%"
"29/05/2023","1.977,10","1.961,30","1.981,90","1.949,60","264,37K","1,69%"
"26/05/2023","1.944,30","1.941,70","1.957,10","1.936,00","166,04K","0,03%"
"25/05/2023","1.943,70","1.959,50","1.965,40","1.939,00","253,88K","-1,06%"
"24/05/2023","1.964,60","1.977,30","1.987,90","1.958,40","229,89K","-0,50%"
"23/05/2023","1.974,50","1.973,90","1.980,00","1.955,80","214,36K","-0,14%"
"22/05/2023","1.977,20","1.979,40","1.984,80","1.970,70","165,77K","-0,22%"
"19/05/2023","1.981,60","1.960,50","1.987,40","1.956,30","234,60K","1,11%"
"18/05/2023","1.959,80","1.985,60","1.988,80","1.954,40","227,73K","-1,26%"
"17/05/2023","1.984,90","1.993,00","1.997,00","1.978,10","206,55K","-0,41%"
"16/05/2023","1.993,00","2.021,30","2.022,70","1.989,10","229,94K","-1,47%"
"15/05/2023","2.022,70","2.013,40","2.027,50","2.011,20","163,25K","0,14%"
"12/05/2023","2.019,80","2.020,50","2.027,80","2.005,70","220,50K","-0,03%"
"11/05/2023","2.020,50","2.036,80","2.047,60","2.016,70","296,98K","-0,81%"
"10/05/2023","2.037,10","2.041,60","2.056,00","2.028,30","260,81K","-0,28%"
"09/05/2023","2.042,90","2.028,40","2.045,10","2.026,40","199,70K","0,48%"
"08/05/2023","2.033,20","2.024,60","2.037,10","2.022,00","182,21K","0,41%"
"05/05/2023","2.024,80","2.058,00","2.061,30","2.007,00","283,30K","-1,50%"
"04/05/2023","2.055,70","2.054,70","2.085,40","2.038,50","311,00K","0,92%"
"03/05/2023","2.037,00","2.026,40","2.050,00","2.016,00","229,67K","0,68%"
"02/05/2023","2.023,30","1.990,50","2.028,80","1.986,90","245,64K","1,56%"
"01/05/2023","1.992,20","2.000,20","2.015,40","1.985,70","173,02K","-0,35%"
"28/04/2023","1.999,10","1.997,20","2.004,10","1.984,40","172,45K","0,01%"
"27/04/2023","1.999,00","1.999,80","2.013,30","1.982,00","203,90K","0,15%"
"26/04/2023","1.996,00","2.007,70","2.020,20","1.993,70","241,40K","-0,42%"
"25/04/2023","2.004,50","1.999,40","2.014,50","1.986,20","222,55K","0,24%"
"24/04/2023","1.999,80","1.992,00","2.001,50","1.984,40","139,88K","0,47%"
"21/04/2023","1.990,50","2.016,10","2.016,80","1.982,30","210,50K","-1,42%"
"20/04/2023","2.019,10","2.007,70","2.024,20","2.002,20","162,84K","0,59%"
"19/04/2023","2.007,30","2.017,90","2.020,30","1.980,90","218,81K","-0,61%"
"18/04/2023","2.019,70","2.007,90","2.024,60","2.003,30","164,98K","0,63%"
"17/04/2023","2.007,00","2.014,10","2.028,00","1.993,40","183,43K","-0,44%"
"14/04/2023","2.015,80","2.054,70","2.061,60","2.006,00","262,83K","-1,92%"
"13/04/2023","2.055,30","2.029,50","2.063,40","2.028,30","198,46K","1,50%"
"12/04/2023","2.024,90","2.019,10","2.043,90","2.015,70","228,49K","0,29%"
"11/04/2023","2.019,00","2.007,00","2.022,50","2.003,70","126,38K","0,76%"
"10/04/2023","2.003,80","2.008,60","2.021,50","1.996,50","136,23K","-1,12%"
"06/04/2023","2.026,40","2.037,10","2.037,70","2.016,50","149,13K","-0,45%"
"05/04/2023","2.035,60","2.038,20","2.049,20","2.026,10","197,37K","-0,13%"
"04/04/2023","2.038,20","2.001,30","2.043,40","1.994,00","233,30K","1,89%"
"03/04/2023","2.000,40","1.990,00","2.008,00","1.965,90","187,99K","0,71%"
"31/03/2023","1.986,20","1.998,00","2.005,50","1.984,20","162,21K","-0,58%"
"30/03/2023","1.997,70","1.982,70","2.002,40","1.971,60","171,70K","1,57%"
"29/03/2023","1.966,90","1.975,40","1.976,00","1.959,50","88,56K","-0,33%"
"28/03/2023","1.973,50","1.957,80","1.977,10","1.949,90","183,58K","1,01%"
"27/03/2023","1.953,80","1.982,60","1.984,00","1.945,00","206,63K","-1,51%"
"24/03/2023","1.983,80","1.996,10","2.006,50","1.977,70","285,44K","-0,61%"
"23/03/2023","1.995,90","1.974,00","2.006,10","1.967,30","262,25K","2,37%"
"22/03/2023","1.949,60","1.943,50","1.982,30","1.936,50","245,03K","0,44%"
"21/03/2023","1.941,10","1.983,10","1.988,70","1.938,60","248,93K","-2,10%"
"20/03/2023","1.982,80","1.989,70","2.014,90","1.970,00","338,02K","0,47%"
"17/03/2023","1.973,50","1.925,90","1.993,70","1.922,30","351,09K","2,63%"
"16/03/2023","1.923,00","1.922,80","1.938,00","1.911,50","248,08K","-0,43%"
"15/03/2023","1.931,30","1.908,20","1.942,50","1.889,50","385,45K","1,07%"
"14/03/2023","1.910,90","1.919,40","1.919,40","1.899,80","261,28K","-0,29%"
"13/03/2023","1.916,50","1.877,10","1.919,50","1.875,70","452,33K","2,64%"
"10/03/2023","1.867,20","1.835,10","1.874,30","1.830,00","345,81K","1,78%"
"09/03/2023","1.834,60","1.818,00","1.839,40","1.815,40","228,47K","0,88%"
"08/03/2023","1.818,60","1.818,00","1.828,70","1.813,40","208,29K","-0,08%"
"07/03/2023","1.820,00","1.852,60","1.856,90","1.817,10","248,23K","-1,87%"
"06/03/2023","1.854,60","1.861,00","1.864,30","1.850,60","136,22K","0,00%"
"03/03/2023","1.854,60","1.842,10","1.864,40","1.842,00","158,96K","0,77%"
"02/03/2023","1.840,50","1.843,80","1.845,30","1.835,90","139,76K","-0,27%"
"01/03/2023","1.845,40","1.834,00","1.852,50","1.829,60","182,58K","0,47%"
"28/02/2023","1.836,70","1.823,90","1.838,60","1.810,80","184,51K","0,65%"
"27/02/2023","1.824,90","1.818,00","1.827,30","1.812,00","130,43K","0,43%"
"24/02/2023","1.817,10","1.829,70","1.835,10","1.815,50","169,47K","-0,53%"
"23/02/2023","1.826,80","1.834,70","1.841,20","1.824,80","179,97K","-0,80%"
"22/02/2023","1.841,50","1.843,70","1.855,00","1.831,90","141,50K","-0,05%"
"20/02/2023","1.842,50","1.850,50","1.856,40","1.839,00","210,17K","-0,42%"
"17/02/2023","1.850,20","1.845,70","1.853,10","1.827,70","165,08K","-0,09%"
"16/02/2023","1.851,80","1.846,50","1.854,90","1.836,60","168,51K","0,35%"
"15/02/2023","1.845,30","1.865,10","1.870,90","1.839,30","169,53K","-1,08%"
"14/02/2023","1.865,40","1.864,10","1.881,60","1.852,50","217,01K","0,10%"
"13/02/2023","1.863,50","1.876,70","1.877,20","1.860,80","131,22K","-0,59%"
"10/02/2023","1.874,50","1.873,50","1.883,50","1.863,50","155,27K","-0,21%"
"09/02/2023","1.878,50","1.888,30","1.902,30","1.870,20","183,55K","-0,65%"
"08/02/2023","1.890,70","1.885,10","1.898,90","1.881,40","131,90K","0,31%"
"07/02/2023","1.884,80","1.880,30","1.897,20","1.877,50","179,67K","0,28%"
"06/02/2023","1.879,50","1.878,00","1.894,00","1.873,20","164,54K","0,15%"
"03/02/2023","1.876,60","1.926,30","1.932,40","1.874,50","310,61K","-2,81%"
"02/02/2023","1.930,80","1.967,10","1.975,20","1.925,60","259,84K","-0,62%"
"01/02/2023","1.942,80","1.944,00","1.970,80","1.936,10","210,61K","-0,13%"
"31/01/2023","1.945,30","1.938,60","1.946,90","1.915,50","194,08K","0,31%"
"30/01/2023","1.939,20","1.944,00","1.950,10","1.936,20","138,07K","0,51%"
"27/01/2023","1.929,40","1.929,30","1.935,40","1.916,50","150,90K","-0,03%"
"26/01/2023","1.930,00","1.948,00","1.949,80","1.918,40","223,26K","-0,65%"
"25/01/2023","1.942,60","1.938,70","1.949,50","1.920,60","190,30K","0,37%"
"24/01/2023","1.935,40","1.932,00","1.943,80","1.918,20","201,71K","0,35%"
"23/01/2023","1.928,60","1.928,40","1.936,70","1.912,50","190,09K","0,02%"
"20/01/2023","1.928,20","1.933,70","1.939,00","1.922,00","165,27K","0,22%"
"19/01/2023","1.923,90","1.907,00","1.936,90","1.902,00","214,25K","0,89%"
"18/01/2023","1.907,00","1.911,10","1.929,80","1.898,60","218,97K","-0,15%"
"16/01/2023","1.909,90","1.923,80","1.931,80","1.906,20","268,37K","-0,61%"
"13/01/2023","1.921,70","1.898,80","1.925,30","1.895,10","247,88K","1,21%"
"12/01/2023","1.898,80","1.879,70","1.906,50","1.872,40","265,17K","1,06%"
"11/01/2023","1.878,90","1.881,30","1.890,90","1.870,90","222,25K","0,13%"
"10/01/2023","1.876,50","1.875,70","1.885,20","1.872,00","170,51K","-0,07%"
"09/01/2023","1.877,80","1.872,80","1.886,40","1.869,30","204,55K","0,43%"
"06/01/2023","1.869,70","1.835,90","1.875,20","1.835,20","215,37K","1,58%"
"05/01/2023","1.840,60","1.861,20","1.864,30","1.829,90","188,60K","-0,99%"
"04/01/2023","1.859,00","1.845,20","1.871,30","1.842,00","198,35K","0,70%"
"03/01/2023","1.846,10","1.831,80","1.856,60","1.831,30","212,27K","1,09%"
